FID,borocode,boroname,countyfips,ntacode,ntaname,shape_area,shape_leng
129,1.000000000000000,Manhattan,061,MN20,Murray Hill-Kips Bay,14465848.010900000110269,23134.268048000001727
130,5.000000000000000,Staten Island,085,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,89057577.491799995303154,72466.639021099996171
131,3.000000000000000,Brooklyn,047,BK63,Crown Heights South,15989888.492900000885129,24192.455655000001570
132,3.000000000000000,Brooklyn,047,BK09,Brooklyn Heights-Cobble Hill,9984670.163440000265837,14253.675375400000121
133,5.000000000000000,Staten Island,085,SI28,Port Richmond,36421059.486000001430511,38925.853193100003409
134,4.000000000000000,Queens,081,QN31,Hunters Point-Sunnyside-West Maspeth,102392938.703999996185303,74586.295446899996023
135,2.000000000000000,Bronx,005,BX01,Claremont-Bathgate,16451621.587500000372529,29972.776724600000307
136,2.000000000000000,Bronx,005,BX37,Van Nest-Morris Park-Westchester Square,36304722.820900000631809,42862.139062800000829
137,2.000000000000000,Bronx,005,BX49,Pelham Parkway,23031630.791099999099970,25817.540992099999130
138,2.000000000000000,Bronx,005,BX41,Mount Hope,14718296.458499999716878,18935.167383500000142
139,4.000000000000000,Queens,081,QN47,Ft. Totten-Bay Terrace-Clearview,46297599.775200001895428,39637.661961899997550
140,4.000000000000000,Queens,081,QN49,Whitestone,69043734.899499997496605,56927.914022400000249
141,1.000000000000000,Manhattan,061,MN19,Turtle Bay-East Midtown,17397872.203600000590086,21638.781206299998303
142,1.000000000000000,Manhattan,061,MN31,Lenox Hill-Roosevelt Island,21501564.917800001800060,37708.444331600003352
143,4.000000000000000,Queens,081,QN50,Elmhurst-Maspeth,21932854.122000001370907,32354.835875799999485
144,4.000000000000000,Queens,081,QN63,Woodside,28245728.082800000905991,27872.192406499998469
145,4.000000000000000,Queens,081,QN08,St. Albans,77412747.758100003004074,45401.316907400003402
146,4.000000000000000,Queens,081,QN66,Laurelton,39763385.129900000989437,29501.111016599999857
147,1.000000000000000,Manhattan,061,MN04,Hamilton Heights,16093787.973200000822544,17410.823298800001794
148,4.000000000000000,Queens,081,QN61,Jamaica,47308036.098999999463558,43696.365035800001351
149,4.000000000000000,Queens,081,QN54,Richmond Hill,50978895.663300000131130,33791.570206600001256
150,4.000000000000000,Queens,081,QN35,Briarwood-Jamaica Hills,29408863.156100001186132,30081.932148899999447
